seller_state,price,log_price
SP,8753396.21,15.9849524355547
PR,1261887.21,14.04811973654323
MG,1011564.74,13.82700992606328
RJ,843984.22,13.645890261576419
SC,632426.07,13.357320188587929
RS,378559.54,12.844131286229299
BA,285561.56,12.562216408417227
DF,97749.48,11.49017338832149
PE,91493.85,11.424037965526596
GO,66399.21,11.103455498110126
ES,47689.61,10.772489802151965
MA,36408.95,10.502597367919428
CE,20240.64,9.915497147786821
PB,17095.0,9.746599796998984
MT,17070.72,9.745178572282386
RN,9992.6,9.209700167088759
MS,8551.69,9.05400113233139
RO,4762.2,8.468674990261512
PI,2522.0,7.833203948641057
SE,1606.2,7.382248813500724
PA,1238.0,7.122059881629142
AM,1177.0,7.071573364211532
AC,267.0,5.5909869805108565
